book_id,goodreads_book_id,title,authors,original_publication_year,tags
1,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites re-read adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks read-more-than-once my-library ya-fantasy teen english books ya-fiction my-favorites own-it library audio young-adult-fiction novel scifi-fantasy faves favorite-series shelfari-favorites kindle romance favourite to-buy read-in-2014 ebook contemporary 5-star coming-of-age favourite-books favs action read-in-2013 read-in-2011 finished ya-books borrowed sci-fi ya-lit science-fiction scifi sf book-club speculative-fiction ebooks survival action-adventure e-book drama thriller suspense dystopia dystopian love read-in-2012 post-apocalyptic futuristic dystopias distopian distopia teen-fiction loved read-2012 trilogy read-in-2010 dystopian-fiction 2012-reads future reviewed read-2011 ya-dystopian finished-series completed-series love-triangle suzanne-collins hunger-games the-hunger-games
2,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997.0,to-read fantasy favorites currently-reading young-adult fiction harry-potter books-i-own owned owned ya series favourites magic childrens owned-books re-read adventure children j-k-rowling children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks paranormal read-more-than-once my-library ya-fantasy teen witches english urban-fantasy british jk-rowling books read-in-2016 supernatural re-reads mystery ya-fiction harry-potter-series my-favorites own-it childrens-books library audio young-adult-fiction novel scifi-fantasy wizards faves favorite-series read-in-2015 juvenile shelfari-favorites kindle youth favourite to-buy read-in-2014 to-re-read all-time-favourites childhood-favorites kids-books ebook rereads contemporary read-in-english science-fiction-fantasy read-in-2017 england children-s-literature favourite-books on-my-shelf my-bookshelf children-s-lit bookshelf favs childhood-books classic read-in-2013 re-reading read-2016 friendship read-2015
3,41865,"Twilight (Twilight, #1)",Stephenie Meyer,2005.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own ya favourites owned-books re-read sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks paranormal read-more-than-once my-library ya-fantasy teen english urban-fantasy books supernatural ya-fiction my-favorites own-it library young-adult-fiction scifi-fantasy faves favorite-series shelfari-favorites kindle ebook contemporary on-my-shelf my-bookshelf bookshelf have movie finished ya-books sci-fi books-i-have ya-lit werewolves séries science-fiction book-club abandoned did-not-finish dnf movies american drama horror high-school chick-lit love book-to-movie read-in-2009 romantic teen-fiction youngadult first-in-series paranormal-romance guilty-pleasures vampires read-in-2008 vampire pnr paranormal-fantasy vamps ya-romance finished-series ya-paranormal vampire-books completed-series fantasy-paranormal meh love-triangle guilty-pleasure twilight stephenie-meyer twilight-saga twilight-series stephanie-meyer never-again already-read young-adults
4,2657,To Kill a Mockingbird,Harper Lee,1960.0,to-read favorites currently-reading young-adult fiction owned ya favourites owned-books re-read childhood all-time-favorites default my-books classics reread i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books read-in-2016 mystery my-favorites own-it library audio novel faves read-in-2015 shelfari-favorites kindle favourite to-buy read-in-2014 to-re-read all-time-favourites ebook contemporary coming-of-age classic read-again read-2015 rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature 20th-century 1001-books-to-read-before-you-die wish-list modern-classics must-read to-reread history historical usa classic-literature realistic-fiction school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction pulitzer pulitzer-prize literary-fiction bookclub american american-literature classics-to-read american-lit classic-fiction classic-lit the-classics literary drama family to-read-again crime high-school clàssics banned-books school-reading required-reading american-classics southern racism race harper-lee
5,4671,The Great Gatsby,F. Scott Fitzgerald,1925.0,to-read favorites currently-reading young-adult fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics reread i-own audiobook 5-stars favorite-books novels favorite audiobooks read-more-than-once my-library english books read-in-2016 re-reads my-favorites own-it library audio novel faves read-in-2015 romance to-buy read-in-2014 to-re-read ebook read-in-english on-my-shelf classic read-in-2013 finished read-again rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature 20th-century 1001-books-to-read-before-you-die wish-list ebooks modern-classics to-reread historical america usa classic-literature realistic-fiction school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction literary-fiction bookclub american american-literature classics-to-read american-lit classic-fiction classic-lit the-classics literary lit drama to-read-again new-york high-school clàssics banned-books school-reading required-reading read-in-high-school american-classics stand-alone love book-to-movie read-in-2012 1920s read-2013 f-scott-fitzgerald
6,11870085,The Fault in Our Stars,John Green,2012.0,to-read favorites currently-reading young-adult fiction books-i-own owned ya favourites owned-books re-read all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library teen english books ya-fiction my-favorites own-it library audio young-adult-fiction novel faves read-in-2015 made-me-cry shelfari-favorites kindle romance favourite to-buy read-in-2014 ebook contemporary read-in-english coming-of-age favourite-books on-my-shelf my-bookshelf bookshelf favs read-in-2013 finished ya-books borrowed ya-lit friendship humor funny book-club ebooks must-read realistic-fiction realistic general-fiction bookclub contemporary-fiction e-books e-book drama family chick-lit stand-alone love read-in-2012 death want-to-read sad contemporary-romance love-story tear-jerkers teen-fiction 2014-books loved read-2012 read-2013 ya-contemporary read-2014 tear-jerker reviewed 2013-reads cancer illness books-that-made-me-cry 2014-reads john-green signed emotional i-cried the-fault-in-our-stars
7,5907,The Hobbit,J.R.R. Tolkien,1937.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own ya series favourites magic childrens owned-books re-read adventure children children-s sci-fi-fantasy all-time-favorites default my-books classics reread i-own audiobook 5-stars children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks read-more-than-once my-library english british books re-reads my-favorites own-it childrens-books library audio novel scifi-fantasy read-in-2015 shelfari-favorites kindle favourite read-in-2014 to-re-read childhood-favorites ebook science-fiction-fantasy on-my-shelf my-bookshelf fantasy-scifi classic british-literature read-in-2013 fantasy-fiction finished read-again sci-fi fiction-fantasy re-reading dragons science-fiction adult 1001-books book-club adult-fiction 1001 literature sci-fi-and-fantasy speculative-fiction 20th-century abandoned 1001-books-to-read-before-you-die audible ebooks unfinished to-reread on-hold epic-fantasy tolkien high-fantasy epic j-r-r-tolkien middle-earth classic-literature lord-of-the-rings jrr-tolkien school read-for-school clàssics personal-library read-in-2012
8,5107,The Catcher in the Rye,J.D. Salinger,1951.0,to-read favorites currently-reading young-adult fiction books-i-own owned ya favourites owned-books re-read all-time-favorites default my-books classics reread i-own favorite-books novels favorite read-more-than-once my-library teen english books read-in-2016 my-favorites own-it library novel faves read-in-2015 shelfari-favorites favourite to-buy read-in-2014 to-re-read ebook contemporary read-in-english coming-of-age classic read-in-2013 finished read-again borrowed rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die wish-list modern-classics must-read unfinished to-reread did-not-finish america usa classic-literature realistic-fiction school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction literary-fiction american american-literature classics-to-read american-lit classic-fiction to-read-classics classic-lit the-classics literary lit drama rory-gilmore-challenge rory-gilmore to-read-again new-york high-school clàssics banned-books school-reading required-reading read-in-high-school american-classics 1950s bildungsroman j-d-salinger
9,960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites owned-books re-read adventure all-time-favorites default my-books classics i-own audiobook 5-stars favorite-books favorite audiobooks my-library english books mystery own-it library audio novel 2005 shelfari-favorites kindle romance favourite to-buy ebook contemporary bookshelf have action movie finished borrowed sci-fi science-fiction adult book-club adult-fiction literature abandoned wish-list ebooks history historical home-library movies paperback realistic-fiction action-adventure general-fiction historical-fiction art contemporary-fiction american american-literature روايات drama crime thriller suspense mystery-thriller religion detective other modern-fiction italy mysteries mystery-suspense popular-fiction 2006 dan-brown thrillers conspiracy suspense-thriller robert-langdon crime-mystery crime-thriller thriller-mystery brown-dan mystery-crime thriller-suspense brown religious murder-mystery mystery-thrillers mistery read-fiction personal-library modern
10,1885,Pride and Prejudice,Jane Austen,1813.0,to-read favorites young-adult fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics reread i-own audiobook 5-stars favorite-books novels favorite audiobooks read-more-than-once my-library english british books read-in-2016 re-reads my-favorites own-it library audio novel faves read-in-2015 shelfari-favorites kindle romance favourite to-buy read-in-2014 to-re-read all-time-favourites ebook read-in-english england favourite-books on-my-shelf favs classic british-literature read-in-2013 rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature abandoned 1001-books-to-read-before-you-die audible ebooks unfinished on-hold history historical classic-literature english-literature tbr school read-for-school for-school school-books general-fiction historical-fiction literary-fiction 19th-century classics-to-read classic-fiction my-ebooks e-books e-book classic-lit the-classics literary drama high-school clàssics chick-lit women historical-romance stand-alone love brit-lit jane-austen austen regency romantic nook
